Nama Produk,Nama Toko,Lokasi Toko,Harga,Promo/Diskon,Terjual,Rating
LAPTOP AXIOO MYBOOK HYPE 5 (G12) BLACK :  INTEL CORE I5-1235U 8GB 256GBSSD WIN11 (SLEVCASE),mdpsuperstore,Palembang,Rp5.699.000,,8 terjual,5.0
PROCESSOR INTEL CORE I5 GEN 6 + FAN LGA / CORE I5 6600 TRAY LGA 1151,BintangRayaKomputer,Jakarta Pusat,Rp590.000,24%,15 terjual,5.0
Intel Core i5 3470 Tray + Fan,JnJ Online,Jakarta Pusat,Rp711.000,,1 terjual,5.0
Intel Core i5 11400 TRAY 2.6GHz 6 Core 12 Threads - LGA1200,JnJ Online,Jakarta Pusat,Rp2.439.000,,23 terjual,5.0
Intel Core i5 10400 2.9GHz 6 Core 12 Thread Comet Lake - LGA1200,JnJ Online,Jakarta Pusat,Rp2.299.000,,250+ terjual,5.0
Intel core i5 7400 3.0 GHz Tray + FAN - LGA1151,JnJ Online,Jakarta Pusat,Rp1.472.000,,3 terjual,5.0
Intel Core i5 14400F 10 Core 16 Thread Up To 4.7Ghz LGA 1700,Starcomp Purwokerto,Kab. Banyumas,Rp2.549.000,,1 terjual,5.0
"Intel Core i5-760 Processor 8M Cache, 2.80 GHz",JnJ Online,Jakarta Pusat,Rp1.117.000,,1 terjual,5.0
Intel Core i5 11400F 2.6GHz 6 Core 12 Threads Rocket Lake - LGA1200,JnJ Online,Jakarta Pusat,Rp2.129.000,,50+ terjual,5.0
Intel Core i5 4590 3.3Ghz Socket LGA 1150 Haswell Intel Gen 4 Tray,Starcomp Purwokerto,Kab. Banyumas,Rp402.000,,3 terjual,5.0
Intel Core i5 10400F 2.9GHz 6 Core 12 Thread Comet Lake - LGA1200,JnJ Online,Jakarta Pusat,Rp1.679.000,,500+ terjual,5.0
Processor CPU Intel Core i5-4590 | 4 Cores | 3.70 GHz 6MB Cache | Intel HD Graphics 4600 | LGA1150 | TDP 84W | Tray Garansi 1 Tahun,UV Computer Mall,Medan,Rp349.000,2%,11 terjual,5.0
Intel Core i5 12400F 2.5GHz Up To 4.4GHz Socket LGA 1700,Starcomp Semarang,Semarang,Rp1.899.000,,30+ terjual,5.0
Intel Core i5-12400F Processor CPU Gen 12 Alder Lake LGA1700 LGA-1700 TRAY Garansi 1 Tahun,UV Computer Mall,Medan,Rp1.749.000,5%,11 terjual,5.0
Processor CPU Intel Core i5-4570 | 4 Cores | 3.60 GHz 6MB Cache | Intel HD Graphics 4600 | LGA1150 | TDP 84W | Tray Garansi 1 Tahun,UV Computer Mall,Medan,Rp329.000,6%,2 terjual,5.0
Intel Core i5 10400 2.9 GHz BOX Socket LGA1200 CPU Processor,Starcomp Semarang,Semarang,Rp2.150.000,,11 terjual,5.0
Intel Core i5-12400F Processor CPU Gen 12 Alder Lake LGA1700 LGA-1700 Box Garansi Resmi 3 Tahun,UV Computer Mall,Medan,Rp2.190.000,,29 terjual,5.0
Intel Core i5 12400 2.5GHz Up To 4.4GHz Socket LGA 1700 BOX,Starcomp Semarang,Semarang,Rp2.499.000,,24 terjual,5.0
Processor CPU Intel Core i5-3470 | 4 Cores | 3.60 GHz 6MB Cache | Intel HD Graphics 2500 | LGA1155 | TDP 77W | Tray Garansi 1 Tahun,UV Computer Mall,Medan,Rp295.000,,3 terjual,5.0
Processor Intel Core i5-12400F Up To 4.4GHz Socket LGA 1700 Alder Lake,ESES Komputer Tasikmalaya,Tasikmalaya,Rp2.056.000,,22 terjual,5.0
Processor CPU Intel Core i5-10400 | 6 Cores | 4.30 GHz 12MB Cache | Intel UHD Graphics 630 | LGA1200 | TDP 65W | Box Garansi 3 Tahun,UV Computer Mall,Medan,Rp2.150.000,,2 terjual,5.0
Intel Core i5 13400F 2.5GHz Up To 4.6GHz LGA 1700 CPU Processor,Starcomp Semarang,Semarang,Rp2.379.000,,6 terjual,5.0
Processor CPU Intel Core i5-10400F | 6 Cores | 4.30 GHz 12MB Cache | Tanpa Intel UHD | LGA1200 | TDP 65W | Box Garansi 3 Tahun,UV Computer Mall,Medan,Rp1.710.000,,2 terjual,5.0
Intel Core i5-14400F 10 Core 16 Thread Up To 4.7Ghz LGA 1700,Starcomp Semarang,Semarang,Rp2.549.000,,11 terjual,5.0
Processor CPU Intel Core i5-12400 | 6 Cores | 4.40 GHz 18MB Cache |  Intel UHD Graphics 730 | LGA1700 | TDP 65W | TRAY Garansi 1 Tahun,UV Computer Mall,Medan,Rp2.299.000,5%,8 terjual,5.0
Intel Core i5-13400F - 10 Core 16 Threads 4.60GHz,Julyaugustshop,Jakarta Pusat,Rp2.300.000,,25 terjual,5.0
Intel Core i5 10400 TRAY FAN - 2.9GHz 6 Core 12 Thread LGA1200,Julyaugustshop,Jakarta Pusat,Rp1.850.000,,1 terjual,5.0
Intel Core i5 12400 - 6 cores 12 threads up to 4.4 GHz,Julyaugustshop,Jakarta Pusat,Rp2.600.000,,3 terjual,5.0
Intel Core i5 12400F - 6 cores 12 threads up to 4.4 GHz,Julyaugustshop,Jakarta Pusat,Rp1.900.000,,30+ terjual,5.0
Intel Core i5-11500 - 6 Core 12 Threads up To 4.6 Ghz - Gen 11 New,Julyaugustshop,Jakarta Pusat,Rp3.700.000,,1 terjual,5.0
Intel Core i5-11400 - 6 Core 12 Threads up To 4.4 Ghz - Gen 11 New,Julyaugustshop,Jakarta Pusat,Rp2.250.000,,3 terjual,5.0
Intel Core i5 4570 + Fan (Tray) - Socket LGA 1150,Julyaugustshop,Jakarta Pusat,Rp680.000,,1 terjual,5.0
Intel Core i5 10400 2.9GHz Comet Lake 6 Core 12 Thread LGA1200,Julyaugustshop,Jakarta Pusat,Rp2.150.000,,15 terjual,5.0
"Proc Intel Core i5 - 6600 (3,9Ghz) Tray non fan -sky Lake 1151",AndalasSuryaGemilang,Surakarta,Rp615.000,,1 terjual,5.0
PROCESSOR INTEL CORE I5 12400F TRAY,RedTeknologi-Redcom,Jakarta Barat,Rp1.762.000,,1 terjual,5.0
PROCESSOR INTEL CORE I5 10400F TRAY,RedTeknologi-Redcom,Jakarta Barat,Rp1.315.500,,1 terjual,5.0
SPC LIFE 5 – Intel Core i5|8GB DDR4|Storage: 512GB|Garansi Resmi SPC 1 tahun,SPC Indonesia,Jakarta Utara,Rp5.950.000,54%,1 terjual,5.0
INTEL CORE I5 10400 GEN 10,YOESTORE,Jakarta Pusat,Rp2.200.000,,50+ terjual,5.0
Intel Core i5 10400F 2.9GHz Comet Lake 6 Core 12 Thread LGA1200,Julyaugustshop,Jakarta Pusat,Rp1.615.000,,60+ terjual,4.9
Intel Core i5 10400 2.9GHz 6 Core 12 Thread Comet Lake - LGA1200,GX COMP,Bandung,Rp2.229.000,,2 terjual,5.0
Processor Intel Core I5 13400F Box Raptor Lake Socket LGA 1700,Jaya Pro Computer,Jakarta Pusat,Rp2.295.000,,11 terjual,5.0
Processor Intel Core i5 13400F 2.5GHz Up To 4.6GHz - [Box] LGA 1700,GX COMP,Bandung,Rp2.450.000,,,5.0
Processor Intel Core I5 10400 Box Comet Lake Socket LGA 1200,Jaya Pro Computer,Jakarta Pusat,Rp2.094.000,,100+ terjual,5.0
Processor Intel Core I5 12400F Box Alder Lake Socket LGA 1700,Jaya Pro Computer,Jakarta Pusat,Rp1.985.000,,100+ terjual,5.0
Processor Intel Core I5 10400F Box Comet Lake Socket LGA 1200,Jaya Pro Computer,Jakarta Pusat,Rp1.670.000,,500+ terjual,5.0
Processor Intel Core I5 12400 Box Alder Lake Socket LGA 1700,Jaya Pro Computer,Jakarta Pusat,Rp2.430.000,,90+ terjual,5.0
Promo Intel Free Gift untuk setiap pembelian minimal Intel Core i5,Laptop Grosir ID,Jakarta Selatan,Rp249.000,,19 terjual,5.0
Processor Intel Core I5-12400F 2.5 GHz 6 Core 12 Threads LGA1700,Tech In Store,Jakarta Utara,Rp1.876.000,,1 terjual,5.0
PROCESSOR INTEL CORE I5 3470 TRAY + FAN,Duta Mandiri Infokom,Jakarta Pusat,Rp315.000,,3 terjual,5.0
PROCESSOR INTEL CORE I5 2400 TRAY + FAN,Duta Mandiri Infokom,Jakarta Pusat,Rp285.000,,8 terjual,5.0
Processor Intel Core i5 11500 12M Cache Up To 4.6Ghz Box Socket 1200,Duta Mandiri Infokom,Jakarta Pusat,Rp2.225.000,,2 terjual,5.0
PROCESSOR INTEL CORE I5 3570 TRAY + FAN,Duta Mandiri Infokom,Jakarta Pusat,Rp290.000,,8 terjual,5.0
Processor Intel Core i5-10400 12M Cache Up To 4.30Ghz Box Socket 1200,Duta Mandiri Infokom,Jakarta Pusat,Rp1.865.000,,6 terjual,5.0
PROCESSOR INTEL CORE I5 4460 TRAY + FAN ORI,Duta Mandiri Infokom,Jakarta Pusat,Rp355.000,,12 terjual,5.0
Processor Intel Core I5 12400F Box Alder Lake - Socket LGA 1700 2.5Ghz,Duta Mandiri Infokom,Jakarta Pusat,Rp1.825.000,,40+ terjual,5.0
Processor Intel Core i5 11400 12M Cache Up To 4.4Ghz Box Socket 1200,Duta Mandiri Infokom,Jakarta Pusat,Rp2.260.000,,5 terjual,5.0
Processor Intel Core I5 11400 Tray -6 Core 12 Threads Socket LGA 1200,Duta Mandiri Infokom,Jakarta Pusat,Rp1.798.000,,13 terjual,5.0
Processor Intel Core i5 11400F 12M Cache Up To 4.4Ghz Box Socket 1200,Duta Mandiri Infokom,Jakarta Pusat,Rp2.098.000,,13 terjual,5.0
Processor Intel Core I5 12400 Box Alder Lake - Socket LGA 1700 2.5Ghz,Duta Mandiri Infokom,Jakarta Pusat,Rp2.550.000,,20 terjual,5.0
Processor Intel Core I5 13400F Box - Raptor Lake Socket LGA 1700,Duta Mandiri Infokom,Jakarta Pusat,Rp2.275.000,,5 terjual,5.0
